label,text
Neutral,PERSON PERSON මෙකි ඉයෙ බිලද කොහෙද ඉදල තියෙන්නෙ මතු ප්රයොජනෙට SS ගහ ගත්ත
Location,PERSON PERSON කොහෙද මෙ පන් කඩෙ තියෙන්නෙ
Location,PERSON එකෙම්ම ෆ්රෙන් එකෙම්ම මිනිහගෙං වර්ක්ෂොප් එක කොහෙද තියෙන්නෙ
Location,PERSON PERSON එක කොහෙද තියෙන්නෙ
Location,මිනිස්සුන්ගෙ මනුස්සකම තියෙන්නෙ කොහෙද ඇත්තටම ්රෂ්න
Location,PERSON කොහෙද තියෙන්නෙ මොනද තියෙන්නෙ
Neutral,PERSON PERSON PERSON PERSON PERSON PERSON PERSON සිරවට දෙයක් හොදින් පැහැ
Location,PERSON PERSON PERSON කොහෙද තියෙන්නෙ R එක ඇයි register නොකර තියන් ඉන්නෙ
Neutral,PERSON PERSON ඔක සෙක්ස් වලට එහ හිය ඇදුම් පැලදුම් ගති සිරිත් වල ඇති උනු පසුගමි තත්වයක් කියල මට හිතෙන්නෙ
Location,හරියට කියපං ලංකවෙ ලොකුම Wall Art එක තියෙන්නෙ කොහෙද
Location,හරියට කියපං ලංකවෙ ලොකුම Wall Art එක තියෙන්නෙ කොහෙද
Location,PERSON ඔය දන්නැද්ද ඉයෙ පෙරෙද අරංචි උනෙ ඔය Kushan කියන කෙන මැරිල තියෙන්නෙ දි ද කොහෙද කියල
Location,PERSON PERSON Phone එකෙ කොහෙද තියෙන්නෙ
Location,PERSON කොහෙද තියෙන්නෙ එක
Neutral,අද මෙ පොලිසියෙ කැලනි හිගන්නො ටික කැලනි පලම එක තිරුවක් වහල අධිවෙගය හදන්නලු විකල්ප මර්ග බවිත කරන්නලු එ කියන විකල්ප ම
Location,PERSON ඔක හදපු හදය කුප්ප කමටමද කොහෙද හදල තියෙන්නෙ
Neutral,PERSON මෙච්චර කල් පුත කොහෙද හිටියෙ රසික
Neutral,දන්න අය කියන්න මෙ කොහෙද කියල
Neutral,අල්ලපු ගෙදර බම්බි රතිඥ්ඥ සද්දෙට දුවගෙන අව එමට කෙලින්ම මගෙ කමරෙ ගෙදර අය කොහෙද ගිහින් මොන කරන්නද කට්ටිය එනක
