name,text,class
Jeewanthi,මම දැම්ම ඕඩර් එක මට කැන්සල් කරන්න ඕන,cancelOrder
Jeewanthi,මට දුන්න ඇඩ්‍රස් එක වෙනස් කරන්න ඕන,changeAddress
Jeewanthi,විවෘත වෙලාව මොකක්ද,openingHousrs
Jeewanthi,කොල පාට එකේ සයිසස් මොනාද???,askSizes
Jeewanthi,දුරකථන අංකයක් දැනගැනීමට,telephone
තරිඳු,ඇණවුම අවලංගු කිරීමට අවශ්‍යයි. මගේ ඇණවුම් අංකය #2345 .,cancelOrder
තරිඳු,ඇණවුම සදහා ලබා දුන් ලිපිනය( Delivery Address) වෙනස් කරන්න අවශ්‍යයි.මගේ ඇණවුම් අංකය #2345,changeAddress
තරිඳු,ශාඛාව විවෘතව ඇති වේලාවන් දැන ගැනීමට අවශ්‍යයි.,openingHousrs
තරිඳු,කොළ පාට t-shirt එකේ L size  එක තියනවා ද,askSizes
තරිඳු,දුරකථන අංකය ලබා දෙන්න,telephone
Thejani,"සමාවෙන්න!
මට ඇණවුම අවලංගු කරන්න අවශ්‍යයි.
#2345 ඇණවුම් අංකය",cancelOrder
Thejani,#2345 ඇණවුම් අංකයට අදාල ලිපිනය මට වෙනස් කරන්න ඕනි.,changeAddress
Thejani,හිඟුරක්ගොඩ ශාඛාව විවෘත කරන වෙලාව කීයද?,openingHousrs
Thejani,මේ කොල පාට ෂර්ට් එකේ ස්මෝල් සයිස් ඒවා තියෙනවද?,askSizes
Thejani,හිඟුරක්ගොඩ ශාඛාවේ දුරකතන අංකය දැන ගන්න පුලුවන් වෙයිද මට ?,telephone
Sakitha,මට #2345 ඇණවුම් අංකය තියෙන ඇණවුම අවලංගු කරලා දෙන්න,cancelOrder
Sakitha,මට #2345 ඇණවුම් අංකය යටතේ තියෙන Delivery address එක වෙනස් කරන්න ඕනෑ,changeAddress
Sakitha,මට බලංගොඩ පිහිටි SJ fashion ශාඛාව විවෘත කරලා තියෙන වේලාව දැන ගන්න ඕනෑ,openingHousrs
Sakitha,මට කොල පාට t-shirt එකේ mediun size එක තියෙනවා ද කියලා දැන ගන්න ඕනෑ,askSizes
Sakitha,මට බලංගොඩ පිහිටි SJ fashion ශාඛාවේ දුරකථන අංකය ලබා ගන්න පුලුවන් ද?,telephone
Dhammika,මා දැමු ඇණවුමක් අවලංගු කිරිමට අවශ්‍යයි,cancelOrder
Dhammika,#2345 මෙම ඇණවුම ට ලබා දුන් ඇණවුම බාර ගැනිමෙ ලිපිනය වෙනස් කිරිමට අවශ්‍යයි,changeAddress
Dhammika,කෑගල්ල නගර ශාඛාව විවෘත වේලාවන් දැන ගැනිමට හැකිද ?,openingHousrs
Dhammika,කොළ පැහැති t shirt එකෙ medium එක තිබෙද ?,askSizes
Dhammika,මට කෑගල්ල නගර ශාඛාවේ දුරකථන අංකය ලබා ගත හැකිද ?,telephone
Ruwan Dissanayaka,#2345 කැන්සල් කරන්න පුළුවන්ද,cancelOrder
Ruwan Dissanayaka,එඩ්‍රස් එක මාරු කරන්න පුළුවන්ද #2345,changeAddress
Ruwan Dissanayaka,අද shop එක ඇරලද,openingHousrs
Ruwan Dissanayaka,කොල පාට එකේ medium තියෙනවාද,askSizes
Ruwan Dissanayaka,ලගම branch එකේ Phone number එක දෙන්න පුලුවන්ද,telephone
Savindi,මට #2345 order එක cancel කරන්න ඕන,cancelOrder
